index,true_label,predicted_label,confidence,audio_path
82,happy,disgust,0.47339004,
16,angry,disgust,0.46478042,
153,angry,disgust,0.4445224,
149,happy,disgust,0.4431729,
103,sad,disgust,0.4347851,
111,angry,disgust,0.41225323,
155,angry,disgust,0.40979972,
210,happy,disgust,0.40287519,
45,angry,disgust,0.40100664,
104,calm,disgust,0.40097877,
67,calm,disgust,0.3949501,
185,angry,disgust,0.3928293,
3,angry,disgust,0.3890877,
116,angry,disgust,0.38596088,
112,surprised,disgust,0.37943086,
27,angry,disgust,0.3771962,
156,sad,disgust,0.36809373,
96,angry,disgust,0.36341473,
36,calm,disgust,0.3616764,
134,sad,disgust,0.36051488,
205,happy,disgust,0.3590418,
73,calm,disgust,0.35895157,
144,angry,disgust,0.35801136,
176,sad,disgust,0.35779753,
189,happy,disgust,0.35466838,
180,calm,disgust,0.34433153,
166,surprised,disgust,0.34300742,
201,sad,calm,0.34299442,
109,surprised,disgust,0.34280446,
46,sad,disgust,0.33958185,
208,calm,disgust,0.3385136,
139,disgust,calm,0.33849347,
72,calm,disgust,0.33668274,
30,angry,disgust,0.3360855,
105,sad,disgust,0.334688,
20,happy,disgust,0.3346038,
128,happy,disgust,0.33457154,
197,angry,disgust,0.33435863,
108,calm,disgust,0.33394453,
51,fearful,calm,0.3332003,
1,calm,disgust,0.33201715,
99,sad,calm,0.33169222,
152,fearful,calm,0.32950738,
57,calm,disgust,0.32916927,
148,happy,disgust,0.3267836,
117,fearful,disgust,0.3251128,
140,sad,calm,0.3249692,
154,sad,calm,0.32486385,
98,sad,calm,0.3241902,
77,surprised,calm,0.32161862,
49,happy,calm,0.3207731,
87,sad,calm,0.3206372,
18,happy,calm,0.3194723,
29,fearful,calm,0.319455,
164,happy,disgust,0.3192491,
124,fearful,disgust,0.31861088,
91,surprised,calm,0.31848672,
188,surprised,calm,0.31796739,
125,angry,disgust,0.31779742,
183,fearful,calm,0.31769797,
15,calm,disgust,0.31714892,
38,calm,disgust,0.31707323,
150,fearful,calm,0.3169488,
186,happy,calm,0.31688005,
192,fearful,disgust,0.31614175,
138,happy,calm,0.31604904,
204,surprised,calm,0.3157617,
141,disgust,calm,0.31533518,
74,sad,calm,0.3140761,
119,surprised,calm,0.31328973,
129,disgust,calm,0.31294423,
4,surprised,calm,0.31199786,
83,disgust,calm,0.3116741,
199,happy,disgust,0.31156877,
40,surprised,calm,0.3103405,
21,calm,disgust,0.31003195,
68,sad,calm,0.3096208,
62,disgust,calm,0.30948225,
194,fearful,calm,0.30904555,
177,surprised,calm,0.3089942,
11,angry,calm,0.30885905,
162,fearful,disgust,0.30875427,
171,fearful,calm,0.30869514,
181,sad,calm,0.30856147,
35,fearful,calm,0.30846006,
170,disgust,calm,0.30825874,
146,happy,calm,0.3081709,
84,sad,disgust,0.30759263,
65,disgust,calm,0.30739874,
157,disgust,calm,0.30708167,
39,sad,calm,0.3067259,
71,surprised,calm,0.30648813,
122,angry,disgust,0.3063765,
190,surprised,calm,0.3058374,
151,sad,calm,0.30542403,
100,angry,calm,0.30507055,
114,happy,disgust,0.30463415,
182,angry,disgust,0.30458832,
64,fearful,disgust,0.30429178,
147,fearful,calm,0.303949,
80,surprised,calm,0.3037468,
165,angry,calm,0.3034667,
174,surprised,calm,0.30297998,
56,happy,calm,0.30267853,
94,sad,calm,0.30246052,
0,fearful,calm,0.30205593,
203,calm,disgust,0.30114707,
44,sad,calm,0.30110896,
211,surprised,disgust,0.30048928,
8,happy,calm,0.2996666,
173,sad,disgust,0.29945436,
28,fearful,calm,0.2992505,
161,surprised,calm,0.2992487,
54,angry,calm,0.29865408,
126,surprised,calm,0.2981041,
5,fearful,calm,0.29806796,
136,happy,calm,0.2980469,
184,fearful,calm,0.29753193,
167,happy,calm,0.29696333,
25,sad,calm,0.29610044,
81,surprised,calm,0.2952571,
95,surprised,calm,0.29488117,
187,happy,disgust,0.2942161,
85,happy,disgust,0.29409212,
34,fearful,calm,0.29315233,
43,disgust,calm,0.2930693,
41,surprised,calm,0.29302636,
22,angry,disgust,0.2925712,
75,sad,calm,0.29079098,
53,fearful,calm,0.29075244,
191,disgust,calm,0.29018724,
193,sad,disgust,0.2896598,
69,happy,calm,0.2893144,
78,happy,disgust,0.28921705,
70,surprised,calm,0.2891677,
132,surprised,calm,0.28908384,
24,sad,disgust,0.28872272,
206,angry,disgust,0.28845888,
179,happy,disgust,0.28797194,
198,fearful,calm,0.28721353,
92,calm,disgust,0.28683725,
89,angry,disgust,0.28679073,
107,sad,calm,0.28642035,
131,sad,disgust,0.2863277,
113,fearful,calm,0.28627133,
32,sad,disgust,0.2861585,
110,fearful,calm,0.28612584,
178,angry,calm,0.28569132,
26,angry,calm,0.28522778,
158,fearful,calm,0.28518692,
61,fearful,calm,0.28513634,
145,surprised,disgust,0.28513414,
160,fearful,calm,0.28502503,
106,surprised,calm,0.28485203,
13,sad,calm,0.28350776,
14,surprised,calm,0.2834083,
19,calm,disgust,0.28278884,
17,fearful,disgust,0.28232363,
59,fearful,disgust,0.28182018,
7,happy,disgust,0.28170753,
133,happy,calm,0.2815735,
93,surprised,calm,0.28145024,
172,angry,calm,0.28140986,
142,surprised,calm,0.28112665,
88,angry,disgust,0.28035966,
12,angry,disgust,0.28005978,
2,happy,disgust,0.27916986,
215,surprised,disgust,0.2784797,
169,angry,disgust,0.27837223,
55,fearful,disgust,0.2768248,
